,Gini_importance
order_prot_id_2.0,1.8959842581060667e-05
store_cat_id_american,2.2872816618604932e-05
market_id_2.0,2.778747058889547e-05
market_id_1.0,2.785716445270833e-05
order_prot_id_5.0,3.7248391265317536e-05
market_id_3.0,4.4541366464853694e-05
total_outstanding_orders,4.961175628317877e-05
store_cat_id_thai,7.575248508881886e-05
created_at,0.0002293546359103137
store_cat_id_indian,0.0002480405018163988
estimated_store_to_consumer_driving_duration,0.00026659715181567113
subtotal,0.0002702902413731653
total_non_prep_time,0.027628684687185726
actual_delivery_time,0.1493940569440284
total_duration,0.8215593875257
