,regression_model,feature_set,scaler_name,RMSE
0,Ridge,all,Std_scaler,3201.6334428687715
1,DecisionTree,all,Std_scaler,2312.1417698987443
2,RandomForest,all,Std_scaler,2387.0881724983483
3,XGBoost,all,Std_scaler,2261.628203675914
4,LGBM,all,Std_scaler,2258.5115203497116
5,MLP,all,Std_scaler,3387.584004301025
6,Ridge,all,MinMax_scaler,2545.0285492990956
7,DecisionTree,all,MinMax_scaler,2300.553673676252
8,RandomForest,all,MinMax_scaler,2352.4827469087472
9,XGBoost,all,MinMax_scaler,2258.309248117681
10,LGBM,all,MinMax_scaler,2260.320054774241
11,MLP,all,MinMax_scaler,2505.395751993471
12,Ridge,all,No_scaler,4.7078055680292004e-08
13,DecisionTree,all,No_scaler,360.5345973372358
14,RandomForest,all,No_scaler,1503.7170208673679
15,XGBoost,all,No_scaler,2181.3890912507754
16,LGBM,all,No_scaler,2211.8931822368227
17,MLP,all,No_scaler,2566.7866105499243
18,Ridge,selected_40,Std_scaler,3201.6334801310823
19,DecisionTree,selected_40,Std_scaler,2300.1287205735557
20,RandomForest,selected_40,Std_scaler,2400.0917812772427
21,XGBoost,selected_40,Std_scaler,2261.8691220128194
22,LGBM,selected_40,Std_scaler,2258.467483553905
23,MLP,selected_40,Std_scaler,3455.0323935832407
24,Ridge,selected_40,MinMax_scaler,2545.2114155141817
25,DecisionTree,selected_40,MinMax_scaler,2300.5536736762524
26,RandomForest,selected_40,MinMax_scaler,2364.134536861997
27,XGBoost,selected_40,MinMax_scaler,2256.788435317318
28,LGBM,selected_40,MinMax_scaler,2260.5461322148335
29,MLP,selected_40,MinMax_scaler,3196.6320541430587
30,Ridge,selected_40,No_scaler,4.696209143064295e-08
31,DecisionTree,selected_40,No_scaler,360.5345973372358
32,RandomForest,selected_40,No_scaler,1320.8456565097006
33,XGBoost,selected_40,No_scaler,2182.764407252355
34,LGBM,selected_40,No_scaler,2211.891249660492
35,MLP,selected_40,No_scaler,6717.836469926374
36,Ridge,selected_20,Std_scaler,3201.633624826196
37,DecisionTree,selected_20,Std_scaler,2312.141769898744
38,RandomForest,selected_20,Std_scaler,2381.058954152622
39,XGBoost,selected_20,Std_scaler,2258.433064735348
40,LGBM,selected_20,Std_scaler,2260.4633702300166
41,MLP,selected_20,Std_scaler,2985.6774681208612
42,Ridge,selected_20,MinMax_scaler,2546.122562238643
43,DecisionTree,selected_20,MinMax_scaler,2300.553673676252
44,RandomForest,selected_20,MinMax_scaler,2379.959563110038
45,XGBoost,selected_20,MinMax_scaler,2252.4711115637083
46,LGBM,selected_20,MinMax_scaler,2260.336360389026
47,MLP,selected_20,MinMax_scaler,2964.24237474175
48,Ridge,selected_20,No_scaler,4.580709885557215e-08
49,DecisionTree,selected_20,No_scaler,309.51144085045337
50,RandomForest,selected_20,No_scaler,1439.2079837953916
51,XGBoost,selected_20,No_scaler,2189.353168992558
52,LGBM,selected_20,No_scaler,2209.6607273763916
53,MLP,selected_20,No_scaler,92919.88294228273
54,Ridge,selected_10,Std_scaler,3201.634120979046
55,DecisionTree,selected_10,Std_scaler,2300.1287205735557
56,RandomForest,selected_10,Std_scaler,2379.7110338971193
57,XGBoost,selected_10,Std_scaler,2245.789386303556
58,LGBM,selected_10,Std_scaler,2259.427596358469
59,MLP,selected_10,Std_scaler,3397.635192144593
60,Ridge,selected_10,MinMax_scaler,2549.321478019863
61,DecisionTree,selected_10,MinMax_scaler,2300.5536736762515
62,RandomForest,selected_10,MinMax_scaler,2353.7498514946965
63,XGBoost,selected_10,MinMax_scaler,2246.1408131414087
64,LGBM,selected_10,MinMax_scaler,2259.033692365911
65,MLP,selected_10,MinMax_scaler,2670.7578781101606
66,Ridge,selected_10,No_scaler,4.453794542999621e-08
67,DecisionTree,selected_10,No_scaler,2056.2366349022836
68,RandomForest,selected_10,No_scaler,1483.8736419737497
69,XGBoost,selected_10,No_scaler,2194.72035163815
70,LGBM,selected_10,No_scaler,2219.9243226026915
71,MLP,selected_10,No_scaler,2387.961658752891
